business_unit,period_start,review_attention,coverage_status,check_status,missing_metrics,source_systems,Revenue,Variable costs,Fixed costs,Tax,Other income,Net profit,calculated_net_profit,delta,abs_delta
b2b,2020-10-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,412500.000000,0,0,0,0,0,412500.000000,-412500.000000,412500.000000
b2b,2020-11-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,62985.000000,0,0,0,0,0,62985.000000,-62985.000000,62985.000000
b2b,2021-06-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,135000.000000,0,0,0,0,0,135000.000000,-135000.000000,135000.000000
b2b,2021-08-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,186100.000000,0,0,0,0,0,186100.000000,-186100.000000,186100.000000
b2b,2021-09-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,32887.000000,0,0,0,0,0,32887.000000,-32887.000000,32887.000000
b2b,2021-10-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,71000.000000,0,0,0,0,0,71000.000000,-71000.000000,71000.000000
b2b,2021-11-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,90900.000000,0,0,0,0,0,90900.000000,-90900.000000,90900.000000
b2b,2021-12-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,642163.000000,0,0,0,0,0,642163.000000,-642163.000000,642163.000000
b2b,2022-02-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,157200.000000,0,0,0,0,0,157200.000000,-157200.000000,157200.000000
b2b,2022-03-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,122100.000000,0,0,0,0,0,122100.000000,-122100.000000,122100.000000
b2b,2022-04-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,20720.000000,0,0,0,0,0,20720.000000,-20720.000000,20720.000000
b2b,2022-05-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,12751.000000,0,0,0,0,0,12751.000000,-12751.000000,12751.000000
b2b,2022-06-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,51000.000000,0,0,0,0,0,51000.000000,-51000.000000,51000.000000
b2b,2022-07-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,33968.000000,0,0,0,0,0,33968.000000,-33968.000000,33968.000000
b2b,2022-08-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,25476.000000,0,0,0,0,0,25476.000000,-25476.000000,25476.000000
b2b,2022-09-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,98237.000000,0,0,0,0,0,98237.000000,-98237.000000,98237.000000
b2b,2022-11-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,154850.000000,0,0,0,0,0,154850.000000,-154850.000000,154850.000000
b2b,2022-12-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,125800.000000,0,0,0,0,0,125800.000000,-125800.000000,125800.000000
b2b,2023-03-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income",Revenue=google_sheets_monthly_economics_historical; Net profit=google_sheets_monthly_economics_historical,165000.000000,0,0,0,0,80350.000000,165000.000000,-84650.000000,84650.000000
b2b,2023-04-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income",Revenue=google_sheets_monthly_economics_historical; Net profit=google_sheets_monthly_economics_historical,1077825.000000,0,0,0,0,-2737.000000,1077825.000000,-1080562.000000,1080562.000000
b2b,2023-06-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,170720.000000,0,0,0,0,0,170720.000000,-170720.000000,170720.000000
b2b,2023-07-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income, Net profit",Revenue=google_sheets_monthly_economics_historical,96800.000000,0,0,0,0,0,96800.000000,-96800.000000,96800.000000
b2b,2023-08-01,high,missing_treated_as_zero,large_delta,"Variable costs, Fixed costs, Cost article - Налог на прибыль (доходы), Other income",Revenue=google_sheets_monthly_economics_historical; Net profit=google_sheets_monthly_economics_historical,50000.000000,0,0,0,0,34100.000000,50000.000000,-15900.000000,15900.000000
